Year,ID,SL,nilo_percentage,Average_scaledist,Average_diameter,Species,fitness
2016,R03,78,0.022,97.11983333,3931.081667,KOR,2.470562597
2016,R06,75,0.01,100.74325,3741.347,KOR,2.692699982
2016,R07,82,0.022,119.1275833,4087.667,KOR,2.914317221
2016,R08,80,0.989,91.32958333,3740.522667,NILO,2.44162625
2016,R09,73,0.009,95.13683333,3729.279333,KOR,2.551078233
2016,R10,85,0.01,86.8995,3886.168667,KOR,2.236122707
2016,R100,65,0.991,68.46633333,2865.235667,NILO,2.389553296
2016,R101,55,0.009,90.80108333,2483.271,KOR,3.656511244
2016,R102,64,0.01,88.22083333,3127.762,KOR,2.820573731
2016,R103,65,0.009,88.49808333,2933.097,KOR,3.017223206
2016,R104,52,0.991,97.261,2364.999,NILO,4.112517595
2016,R105,54,0.01,84.62191667,2515.349,KOR,3.364221691
2016,R106,74,0.949,96.76041667,3557.272333,NILO,2.720073349
2016,R129,90,0.1,109.2500833,4132.942667,HYB,2.64339702
2016,R131,105,0.989,98.4825,4692.043333,NILO,2.098925628
2016,R139,85.5,0.99,74.62725,3698.040333,NILO,2.018021527
2016,R142,80,0.01,108.2145833,3413.270667,KOR,3.170407327
2016,R144,96.6,0.991,105.06075,5012.378667,NILO,2.096025799
2016,R147,96.7,0.991,84.93058333,4885.254333,NILO,1.73850894
2016,R148,79.6,0.01,115.0023333,4537.836333,KOR,2.534298835
2016,R155,92.2,0.991,90.741,4340.238333,NILO,2.09069164
2016,R159,72.1,0.01,102.4935,3626.737667,KOR,2.82605221
2016,R161,75,0.01,108.9563333,3483.532,KOR,3.127754627
2016,R186,75,0.01,98.59325,3499.065667,KOR,2.817702192
2016,R187,80,0.604,104.4149167,3852.944,HYB,2.710003486
2016,R19,68,0.991,75.44875,3087.295,NILO,2.443846474
2016,R193,75,0.01,107.8265,3369.787667,KOR,3.199801016
2016,R197,75,0.01,87.58558333,3270.379667,KOR,2.678147257
2016,R198,84,0.011,94.63166667,3576.143333,KOR,2.646193339
2016,R20,70.9,0.991,83.24008333,3278.442333,NILO,2.539013192
2016,R201,75,0.021,97.4485,3216.960333,KOR,3.029210494
2016,R203,75,0.01,73.73383333,3358.630333,KOR,2.195354237
2016,R205,75,0.01,87.52975,3639.721333,KOR,2.404847569
2016,R209,67,0.214,88.4185,2530.639,HYB,3.493919915
2016,R21,72.3,0.99,84.50325,3251.774333,NILO,2.598681254
2016,R211,74,0.01,91.81433333,3477.775333,KOR,2.64003061
2016,R212,76,0.009,109.7095833,3660.606,KOR,2.997033368
2016,R213,68,0.01,98.11016667,3052.618667,KOR,3.21396733
2016,R216,73,0.009,99.17633333,3271.562,KOR,3.031467334
2016,R235,78,0.01,110.5291667,4102.817667,KOR,2.693981933
2016,R238,71.8,0.021,110.7994167,3410.288333,KOR,3.248975039
2016,R245,73,0.01,99.14908333,3257.329667,KOR,3.043876226
2016,R248,85,0.112,89.7495,4130.814667,HYB,2.172682806
2016,R31,87,0.991,96.86208333,4302.446667,NILO,2.251325602
2016,R33,82.7,0.991,92.86308333,3723.859667,NILO,2.493732085
2016,R34,75.6,0.01,108.32525,3699.078667,KOR,2.928438667
2016,R35,74,0.009,92.14958333,3512.931667,KOR,2.623153311
2016,R37,87,0.991,88.51633333,3783.160333,NILO,2.339745756
2016,R47,57.3,0.991,92.27875,2303.982667,NILO,4.005184211
2016,R48,80.4,0.991,86.77841667,3733.169667,NILO,2.32452378
2016,R52,51.1,0.01,81.82325,2209.767333,KOR,3.70279933
2016,R57,94.4,0.009,119.0921667,4957.403,KOR,2.40230957
2016,R83,54.6,0.01,85.18475,2584.498667,KOR,3.295987384
2016,R84,64.1,0.01,119.3134167,3301.598333,KOR,3.613807758
2016,R86,47.7,0.802,87.88808333,2353.475,HYB,3.7343963
2016,R87,48.7,0.01,90.75,2259.517,KOR,4.016345086
2016,R91,54,0.01,69.49566667,2346.714,KOR,2.961403335
2016,R93,55,0.991,72.48516667,2354.031,NILO,3.079193378
2016,R94,60.1,0.01,91.74133333,2699.384,KOR,3.398602545
2016,R95,62.3,0.01,89.08275,3129.080667,KOR,2.84693044
2016,R96,70,0.01,92.2805,3127.014667,KOR,2.951073462
2019,RUTFC1.1,47.9,0.005,71.60558333,1864.113,KOR,3.841268385
2019,RUTFC1.2,55.4,0.005,56.31258333,1931.348,KOR,2.915713964
2019,RUTFC1.3,53,0.005,72.59341667,2092.674333,KOR,3.468930426
2019,RUTFC1.4,52,0.005,76.477125,1618.536667,KOR,4.725078311
2019,RUTFC2.1,67,0.005,78.7235,2445.504333,KOR,3.219111041
2019,RUTFC2.10,50.1,0.005,69.92741667,1795.62,KOR,3.894332691
2019,RUTFC2.11,52.2,0.005,69.4595,1766.896333,KOR,3.931158761
2019,RUTFC2.12,50.8,0.091,66.351,1804.565333,KOR,3.676841108
2019,RUTFC2.13,52.6,0.005,64.46741667,1790.674667,KOR,3.60017472
2019,RUTFC2.14,53.2,0.005,66.97383333,1924.063667,KOR,3.480853284
2019,RUTFC2.15,58.9,0.005,80.43733333,2129.771333,KOR,3.776806086
2019,RUTFC2.16,56.2,0.005,73.09325,2155.47,KOR,3.391058563
2019,RUTFC2.19,64.9,0.005,70.12483333,2301.504667,KOR,3.046912498
2019,RUTFC2.2,52.9,0.005,77.74041667,1781.671,KOR,4.363342989
2019,RUTFC2.21,52.1,0.005,70.017,1899.466667,KOR,3.686139969
2019,RUTFC2.22,55.8,0.005,74.81183333,1972.04,KOR,3.793626566
2019,RUTFC2.23,60.8,0.005,70.6795,2235.034,KOR,3.162345629
2019,RUTFC2.3,52.1,0.344,67.79733333,1566.501667,HYB,4.327945177
2019,RUTFC2.4,49.8,0.005,71.08691667,1707.040333,KOR,4.164337261
2019,RUTFC2.5,56.6,0.005,72.38358333,2071.206333,KOR,3.494754828
2019,RUTFC2.6,52.4,0.005,61.906,1846.282667,KOR,3.353007701
2019,RUTFC2.8,56.8,0.005,80.42791667,2086.774333,KOR,3.854174138
2019,RUTFC2.9,53.8,0.174,82.81233333,2066.924,HYB,4.006549507
2019,RUTS.14,97.8,0.995,88.80225,4118.972,NILO,2.155932354
2019,RUTS.15,102.6,0.99,78.54441667,3289.282,NILO,2.387889414
2019,RUTS1.13,46.6,0.996,74.85225,1970.173333,NILO,3.799272314
2019,RUTS1.2,46.8,0.005,61.62925,1652.252667,KOR,3.73001365
2019,RUTS1.4,46.4,0.006,64.29158333,1591.393333,KOR,4.039955553
2019,RUTS1.8,48.2,0.991,60.482,1656.124667,NILO,3.652019755
2019,RUTS2.1,46.3,0.995,83.98666667,1636.126,NILO,5.133263983
