Year,ID,SL,nilo_percentage,Average_scaledist,logAverage_scaledist,Average_diameter,logAverage_diameter,Species,logSL,Species2
2016,R129,90,0.1,109.2500833,2.038421777,4132.942667,3.616259381,XHYB,1.954242509,HYB
2016,R187,80,0.604,104.4149167,2.018762546,3852.944,3.585792697,XHYB,1.903089987,HYB
2016,R209,67,0.214,88.4185,1.946543143,2530.639,3.403230197,XHYB,1.826074803,HYB
2016,R248,85,0.112,89.7495,1.953032038,4130.814667,3.61603571,XHYB,1.929418926,HYB
2016,R86,47.7,0.802,87.88808333,1.943929993,2353.475,3.371709589,XHYB,1.678518379,HYB
2019,RUTFC2.12,50.8,0.091,75.88722222,1.880168656,2441.000333,3.387567839,XHYB,1.705863712,HYB
2019,RUTFC2.3,52.1,0.344,67.85288889,1.831568343,2542.256,3.405219281,XHYB,1.716837723,HYB
2019,RUTFC2.9,53.8,0.174,90.07255556,1.954592485,2696.236,3.430757903,XHYB,1.730782276,HYB
2019,RUTS2.18,50.9,0.599,85.82444444,1.933611001,2350.232333,3.371110797,XHYB,1.706717782,HYB
2019,RUTS3.26,46.6,0.164,93.30822222,1.969919915,2254.979,3.353142502,XHYB,1.668385917,HYB
2019,RUTS3.43,46.8,0.059,84.25644444,1.925603128,2085.993667,3.319312986,XHYB,1.670245853,HYB
2019,RUTS3.50,43.1,0.079,81.32033333,1.91019915,1719.244333,3.235337601,XHYB,1.63447727,HYB
2019,RUTS3.54,34.7,0.224,64.09222222,1.80680533,1492.319,3.173861668,XHYB,1.540329475,HYB
2016,R03,78,0.022,97.11983333,1.987307928,3931.081667,3.594512066,KOR,1.892094603,KOR
2016,R06,75,0.01,100.74325,2.003215957,3741.347,3.57302799,KOR,1.875061263,KOR
2016,R07,82,0.022,119.1275833,2.076012331,4087.667,3.611475509,KOR,1.913813852,KOR
2016,R09,73,0.009,95.13683333,1.978348692,3729.279333,3.571624914,KOR,1.86332286,KOR
2016,R10,85,0.01,86.8995,1.939017278,3886.168667,3.589521646,KOR,1.929418926,KOR
2016,R101,55,0.009,90.80108333,1.95809103,2483.271,3.395024117,KOR,1.740362689,KOR
2016,R102,64,0.01,88.22083333,1.945571156,3127.762,3.495233699,KOR,1.806179974,KOR
2016,R103,65,0.009,88.49808333,1.946933865,2933.097,3.467326426,KOR,1.812913357,KOR
2016,R105,54,0.01,84.62191667,1.927482858,2515.349,3.400598251,KOR,1.73239376,KOR
2016,R142,80,0.01,108.2145833,2.034285791,3413.270667,3.533170729,KOR,1.903089987,KOR
2016,R148,79.6,0.01,115.0023333,2.060706652,4537.836333,3.656848828,KOR,1.900913068,KOR
2016,R159,72.1,0.01,102.4935,2.010696324,3626.737667,3.559516143,KOR,1.857935265,KOR
2016,R161,75,0.01,108.9563333,2.03725248,3483.532,3.542019804,KOR,1.875061263,KOR
2016,R186,75,0.01,98.59325,1.993847183,3499.065667,3.543952093,KOR,1.875061263,KOR
2016,R193,75,0.01,107.8265,2.032725508,3369.787667,3.527602536,KOR,1.875061263,KOR
2016,R197,75,0.01,87.58558333,1.942432627,3270.379667,3.514598174,KOR,1.875061263,KOR
2016,R198,84,0.011,94.63166667,1.976036489,3576.143333,3.553414917,KOR,1.924279286,KOR
2016,R201,75,0.021,97.4485,1.988775159,3216.960333,3.507445706,KOR,1.875061263,KOR
2016,R203,75,0.01,73.73383333,1.867666813,3358.630333,3.526162206,KOR,1.875061263,KOR
2016,R205,75,0.01,87.52975,1.942155688,3639.721333,3.561068134,KOR,1.875061263,KOR
2016,R211,74,0.01,91.81433333,1.962910485,3477.775333,3.541301523,KOR,1.86923172,KOR
2016,R212,76,0.009,109.7095833,2.040244566,3660.606,3.563552987,KOR,1.880813592,KOR
2016,R213,68,0.01,98.11016667,1.991714013,3052.618667,3.484672556,KOR,1.832508913,KOR
2016,R216,73,0.009,99.17633333,1.996408048,3271.562,3.514755155,KOR,1.86332286,KOR
2016,R235,78,0.01,110.5291667,2.043476896,4102.817667,3.613082217,KOR,1.892094603,KOR
2016,R238,71.8,0.021,110.7994167,2.044537474,3410.288333,3.532791099,KOR,1.856124444,KOR
2016,R245,73,0.01,99.14908333,1.996288703,3257.329667,3.512861715,KOR,1.86332286,KOR
2016,R34,75.6,0.01,108.32525,2.0347297,3699.078667,3.568093567,KOR,1.878521796,KOR
2016,R35,74,0.009,92.14958333,1.964493376,3512.931667,3.545669702,KOR,1.86923172,KOR
2016,R52,51.1,0.01,81.82325,1.912876726,2209.767333,3.344346549,KOR,1.7084209,KOR
2016,R57,94.4,0.009,119.0921667,2.075883197,4957.403,3.695254225,KOR,1.974971994,KOR
2016,R83,54.6,0.01,85.18475,1.930361853,2584.498667,3.412376313,KOR,1.737192643,KOR
2016,R84,64.1,0.01,119.3134167,2.076689282,3301.598333,3.518724237,KOR,1.80685803,KOR
2016,R87,48.7,0.01,90.75,1.957846634,2259.517,3.354015613,KOR,1.687528961,KOR
2016,R91,54,0.01,69.49566667,1.841957725,2346.714,3.370460164,KOR,1.73239376,KOR
2016,R94,60.1,0.01,91.74133333,1.962565048,2699.384,3.431264669,KOR,1.778874472,KOR
2016,R95,62.3,0.01,89.08275,1.949793615,3129.080667,3.495416759,KOR,1.794488047,KOR
2016,R96,70,0.01,92.2805,1.965109939,3127.014667,3.495129918,KOR,1.84509804,KOR
2019,RUTFC1.1,47.9,0.005,73.84455556,1.868318481,2082.467,3.318578128,KOR,1.680335513,KOR
2019,RUTFC1.2,55.4,0.005,70.51355556,1.848272614,2594.482,3.414050662,KOR,1.743509765,KOR
2019,RUTFC1.3,53,0.005,83.924,1.923886175,2841.5195,3.453550641,KOR,1.72427587,KOR
2019,RUTFC1.4,52,0.005,91.22333333,1.960105937,2239.594667,3.350169425,KOR,1.716003344,KOR
2019,RUTFC2.1,67,0.005,102.494,2.010698443,3303.779,3.519010988,KOR,1.826074803,KOR
2019,RUTFC2.11,52.2,0.005,64.72455556,1.811069077,2366.964667,3.374191775,KOR,1.717670503,KOR
2019,RUTFC2.13,52.6,0.005,76.53933333,1.883884675,2164.393667,3.335336255,KOR,1.720985744,KOR
2019,RUTFC2.14,53.2,0.005,72.56,1.860697274,2013.097,3.303864702,KOR,1.725911632,KOR
